NormalisedSpecificDisease,PhenotypicSeriesNumber,PhenotypicSeriesName,Phenotype,PhenotypeMIM,GeneSymbol,GeneMIM,Check_RTL,Comments_RTL,Check_DC,Comments_DC
Classical tuberous sclerosis,PS191100,Tuberous sclerosis,Tuberous sclerosis-1,191100,TSC1,605284,1,NA,NA,NA
Classical tuberous sclerosis,PS191100,Tuberous sclerosis,"{TSC2 angiomyolipomas, renal, modifier of}",613254,IFNG,147570,1,NA,NA,NA
Classical tuberous sclerosis,PS191100,Tuberous sclerosis,Tuberous sclerosis-2,613254,TSC2,191092,1,NA,NA,NA
Congenital anaemias,PS224120,"Anemia, congenital dyserythropoietic","Dyserythropoietic anemia, congenital, type Ib",615631,CDIN1,615626,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS224120,"Anemia, congenital dyserythropoietic","Dyserythropoietic anemia, congenital, type Ia",224120,CDAN1,607465,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS224120,"Anemia, congenital dyserythropoietic","Dyserythropoietic anemia, congenital, type III",105600,NA,105600,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS224120,"Anemia, congenital dyserythropoietic","Dyserythropoietic anemia, congenital, type IV",613673,KLF1,600599,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS224120,"Anemia, congenital dyserythropoietic","Dyserythropoietic anemia, congenital, type II",224100,SEC23B,610512,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS300751,"Anemia, Sideroblastic",NA,NA,NA,NA,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,Diamond-Blackfan anemia 7,612562,RPL11,604175,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,Diamond-Blackfan anemia 6,612561,RPL5,603634,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,?Diamond-Blackfan anemia 17,617409,RPS27,603702,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,Diamond-Blackfan anemia 8,612563,RPS7,603658,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,?Diamond-Blackfan anemia 12,615550,RPL15,604174,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,Diamond-Blackfan anemia 5,612528,RPL35A,180468,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,Diamond-Blackfan anemia 9,613308,RPS10,603632,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,Diamond-Blackfan anemia 2,606129,NA,606129,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,?Diamond-Blackfan anemia 19,618312,RPL35,618315,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,Diamond-blackfan anemia 3,610629,RPS24,602412,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,Diamond-Blackfan anemia 10,613309,RPS26,603701,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,Diamond-Blackfan anemia 13,615909,RPS29,603633,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,Diamond-Blackfan anemia 4,612527,RPS17,180472,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,?Diamond-Blackfan anemia 20,618313,RPS15A,603674,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,?Diamond-Blackfan anemia 11,614900,RPL26,603704,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,?Diamond-Blackfan anemia 16,617408,RPL27,607526,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,Diamond Blackfan anemia 15 with mandibulofacial dysostosis,606164,RPS28,603685,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,Diamond-Blackfan anemia 1,105650,RPS19,603474,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,?Diamond-Blackfan anemia 18,618310,RPL18,604179,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital anaemias,PS105650,Diamond-Blackfan anemia,?Diamond-Blackfan anemia 14 with mandibulofacial dysostosis,300946,TSR2,300945,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Anaemia_33_Gene_Panel_TC_Sept14.pdf,NA,NA
Congenital Anomaly of the Kidneys and Urinary Tract (CAKUT),PS610805,Congenital anomalies of kidney and urinary tract,Congenital anomalies of kidney and urinary tract 1,610805,DSTYK,612666,1,NA,NA,NA
Congenital Anomaly of the Kidneys and Urinary Tract (CAKUT),PS610805,Congenital anomalies of kidney and urinary tract,Congenital anomalies of kidney and urinary tract 2,143400,TBX18,604613,1,NA,NA,NA
Congenital Anomaly of the Kidneys and Urinary Tract (CAKUT),PS610805,Congenital anomalies of kidney and urinary tract,?Congenital anomalies of kidney and urinary tract 3,618270,NRIP1,602490,1,NA,NA,NA
Congenital hypothyroidism,PS275200,"Hypothyroidism, congenital, nongoitrous","Hypothyroidism, congenital, nongoitrous 4",275100,TSHB,188540,1,NA,NA,NA
Congenital hypothyroidism,PS275200,"Hypothyroidism, congenital, nongoitrous","Hypothyroidism, congenital, due to thyroid dysgenesis or hypoplasia",218700,PAX8,167415,1,NA,NA,NA
Congenital hypothyroidism,PS275200,"Hypothyroidism, congenital, nongoitrous","Hypothyroidism, congenital nongoitrous, 5",225250,NKX2-5,600584,1,NA,NA,NA
Congenital hypothyroidism,PS275200,"Hypothyroidism, congenital, nongoitrous","Hypothyroidism, congenital, nongoitrous, 7",618573,TRHR,188545,1,NA,NA,NA
Congenital hypothyroidism,PS275200,"Hypothyroidism, congenital, nongoitrous","Hypothyroidism, congenital, nongoitrous, 1",275200,TSHR,603372,1,NA,NA,NA
Congenital hypothyroidism,PS275200,"Hypothyroidism, congenital, nongoitrous","Hypothyroidism, congenital, nongoitrous, 3",609893,NA,609893,1,NA,NA,NA
Congenital hypothyroidism,PS275200,"Hypothyroidism, congenital, nongoitrous","Hypothyroidism, congenital, nongoitrous, 6",614450,THRA,190120,1,NA,NA,NA
Congenital hypothyroidism,PS275200,"Hypothyroidism, congenital, nongoitrous","Hypothyroidism, congenital, nongoitrous, 8",301033,TBL1X,300196,1,NA,NA,NA
Congenital hypothyroidism,PS275200,"Hypothyroidism, congenital, nongoitrous","Hypothyroidism, congenital, nongoitrous, 9",301035,IRS4,300904,1,NA,NA,NA
Congenital muscular dystrophy,PS254090,Ullrich congenital muscular dystrophy,Ullrich congenital muscular dystrophy 1,254090,COL6A3,120250,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Muscular_Dystrophy_31_Gene_Panel_GD_Mar15.pdf,NA,NA
Congenital muscular dystrophy,PS254090,Ullrich congenital muscular dystrophy,?Ullrich congenital muscular dystrophy 2,616470,COL12A1,120320,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Muscular_Dystrophy_31_Gene_Panel_GD_Mar15.pdf,NA,NA
Congenital muscular dystrophy,PS254090,Ullrich congenital muscular dystrophy,Ullrich congenital muscular dystrophy 1,254090,COL6A1,120220,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Muscular_Dystrophy_31_Gene_Panel_GD_Mar15.pdf,NA,NA
Congenital muscular dystrophy,PS254090,Ullrich congenital muscular dystrophy,Ullrich congenital muscular dystrophy 1,254090,COL6A2,120240,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Muscular_Dystrophy_31_Gene_Panel_GD_Mar15.pdf,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects",615120,AGRN,103320,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","?Myasthenic syndrome, congenital, 15, without tubular aggregates",616227,ALG14,612866,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 7, presynaptic",616040,SYT2,600104,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 22",616224,PREPL,609557,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenia, congenital, 12, with tubular aggregates",610542,GFPT1,138292,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 20, presynaptic",617143,SLC5A7,608761,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 1A, slow-channel",601462,CHRNA1,100690,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 1B, fast-channel",608930,CHRNA1,100690,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","?Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency",616323,CHRND,100720,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 3B, fast-channel",616322,CHRND,100720,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","?Myasthenic syndrome, congenital, 3A, slow-channel",616321,CHRND,100720,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 5",603034,COLQ,603033,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 10",254300,DOK7,610285,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 14, with tubular aggregates",616228,ALG2,607905,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency",616325,MUSK,601296,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 6, presynaptic",254210,CHAT,118490,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 21, presynaptic",617239,SLC18A3,600336,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 19",616720,COL13A1,120350,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","?Myasthenic syndrome, congenital, 17",616304,LRP4,604270,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 11, associated with acetylcholine receptor deficiency",616326,RAPSN,601592,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 13, with tubular aggregates",614750,DPAGT1,191350,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 25",618323,VAMP1,185880,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 24, presynaptic",618198,MYO9A,604875,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 4A, slow-channel",605809,CHRNE,100725,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 4B, fast-channel",616324,CHRNE,100725,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency",608931,CHRNE,100725,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 2A, slow-channel",616313,CHRNB1,100710,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","?Myasthenic syndrome, congenital, 2C, associated with acetylcholine receptor deficiency",616314,CHRNB1,100710,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 16",614198,SCN4A,603967,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","?Myasthenic syndrome, congenital, 18",616330,SNAP25,600322,1,NA,NA,NA
Congenital myaesthenia,PS601462,"Myasthenic syndrome, congenital","Myasthenic syndrome, congenital, 23, presynaptic",618197,SLC25A1,190315,1,NA,NA,NA
Congenital myaesthenia,PS610542,"Myasthenic syndrome, congenital, with tubular aggregates","Myasthenia, congenital, 12, with tubular aggregates",610542,GFPT1,138292,1,NA,NA,NA
Congenital myaesthenia,PS610542,"Myasthenic syndrome, congenital, with tubular aggregates","Myasthenic syndrome, congenital, 14, with tubular aggregates",616228,ALG2,607905,1,NA,NA,NA
Congenital myaesthenia,PS610542,"Myasthenic syndrome, congenital, with tubular aggregates","Myasthenic syndrome, congenital, 13, with tubular aggregates",614750,DPAGT1,191350,1,NA,NA,NA
Corneal abnormalities,PS122000,"Corneal dystrophy, posterior polymorphous - PS122000","Corneal dystrophy, posterior polymorphous 2",609140,COL8A2,120252,1,NA,NA,NA
Corneal abnormalities,PS122000,"Corneal dystrophy, posterior polymorphous - PS122000","Corneal dystrophy, posterior polymorphous, 4",618031,GRHL2,608576,1,NA,NA,NA
Corneal abnormalities,PS122000,"Corneal dystrophy, posterior polymorphous - PS122000","Corneal dystrophy, posterior polymorphous, 3",609141,ZEB1,189909,1,NA,NA,NA
Corneal abnormalities,PS122000,"Corneal dystrophy, posterior polymorphous - PS122000","Corneal dystrophy, posterior polymorphous, 1",122000,OVOL2,616441,1,NA,NA,NA
Craniosynostosis syndromes,PS123100,Craniosynostosis,?Craniosynostosis 6,616602,ZIC1,600470,1,NA,NA,NA
Craniosynostosis syndromes,PS123100,Craniosynostosis,Craniosynostosis 2,604757,MSX2,123101,1,NA,NA,NA
Craniosynostosis syndromes,PS123100,Craniosynostosis,Craniosynostosis 1,123100,TWIST1,601622,1,NA,NA,NA
Craniosynostosis syndromes,PS123100,Craniosynostosis,"{Craniosynostosis 5, susceptibility to}",615529,ALX4,605420,1,NA,NA,NA
Craniosynostosis syndromes,PS123100,Craniosynostosis,Craniosynostosis 3,615314,TCF12,600480,1,NA,NA,NA
Craniosynostosis syndromes,PS123100,Craniosynostosis,"{Craniosynostosis 7, susceptibility to}",617439,SMAD6,602931,1,NA,NA,NA
Craniosynostosis syndromes,PS123100,Craniosynostosis,Craniosynostosis 4,600775,ERF,611888,1,NA,NA,NA
Cystic kidney disease,PS173900,Polycystic kidney disease,Polycystic kidney disease 5,617610,DZIP1L,617570,1,NA,NA,NA
Cystic kidney disease,PS173900,Polycystic kidney disease,Polycystic kidney disease 6 with or without polycystic liver disease,618061,DNAJB11,611341,1,NA,NA,NA
Cystic kidney disease,PS173900,Polycystic kidney disease,Polycystic kidney disease 2,613095,PKD2,173910,1,NA,NA,NA
Cystic kidney disease,PS173900,Polycystic kidney disease,"Polycystic kidney disease 4, with or without hepatic disease",263200,PKHD1,606702,1,NA,NA,NA
Cystic kidney disease,PS173900,Polycystic kidney disease,Polycystic kidney disease 3,600666,GANAB,104160,1,NA,NA,NA
Cystic kidney disease,PS173900,Polycystic kidney disease,Polycystic kidney disease 1,173900,PKD1,601313,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1LL",615373,PRDM16,605557,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,Left ventricular noncompaction 8,615373,PRDM16,605557,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1CC",613122,NEXN,613121,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1A",115200,LMNA,150330,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1D",601494,TNNT2,191045,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,Left ventricular noncompaction 6,601494,TNNT2,191045,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1V",613697,PSEN2,600759,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, hypertrophic, 23, with or without LVNC",612158,ACTN2,102573,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1AA, with or without LVNC",612158,ACTN2,102573,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1H",604288,NA,604288,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1G",604145,TTN,188840,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1I",604765,DES,125660,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1NN",615916,RAF1,164760,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1E",601154,SCN5A,600163,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1Z",611879,TNNC1,191040,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1GG",613642,SDHA,600857,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1L",606685,SGCD,601411,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1K",605582,NA,605582,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1JJ",615235,LAMA4,600133,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1P",609909,PLN,172405,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"?Cardiomyopathy, dilated, 1J",605362,EYA4,603550,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"?Cardiomyopathy, dilated, 2B",614672,GATAD1,614518,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1Q",609915,NA,609915,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated 1B",600884,NA,600884,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1X",611615,FKTN,607440,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, hypertrophic, 22",615248,MYPN,608517,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, familial restrictive, 4",615248,MYPN,608517,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1KK",615248,MYPN,608517,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1W",611407,VCL,193065,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,Left ventricular noncompaction 3,601493,LDB3,605906,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1C, with or without LVNC",601493,LDB3,605906,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, hypertrophic, 24",601493,LDB3,605906,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1DD",613172,RBM20,613171,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1HH",613881,BAG3,603883,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"?Cardiomyopathy, dilated, 1M",607482,CSRP3,600824,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,Left ventricular noncompaction 10,615396,MYBPC3,600958,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1MM",615396,MYBPC3,600958,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1II",615184,CRYAB,123590,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1O",608569,ABCC9,601439,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1EE",613252,MYH6,160710,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1S",613426,MYH7,160760,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,Left ventricular noncompaction 5,613426,MYH7,160760,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1U",613694,PSEN1,104311,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1R",613424,ACTC1,102540,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,Left ventricular noncompaction 4,613424,ACTC1,102540,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,Left ventricular noncompaction 9,611878,TPM1,191010,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1Y",611878,TPM1,191010,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1BB",612877,DSG2,125671,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"?Cardiomyopathy, dilated, 2A",611880,TNNI3,191044,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 1FF",613286,TNNI3,191044,1,NA,NA,NA
Dilated Cardiomyopathy,PS115200,Dilated cardiomyopathy,"Cardiomyopathy, dilated, 3B",302045,DMD,300377,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"Parkinson disease 7, autosomal recessive early-onset",606324,PARK7,602533,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,Kufor-Rakeb syndrome,606693,ATP13A2,610513,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"Parkinson disease 6, early onset",605909,PINK1,608309,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,{Parkinson disease 10},606852,NA,606852,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"Parkinson disease 19a, juvenile-onset",615528,DNAJC6,608375,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"Parkinson disease 19b, early-onset",615528,DNAJC6,608375,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"{Parkinson disease, late-onset, susceptibility to}",168600,GBA,606463,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,{Parkinson disease 16},613164,NA,613164,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,{Parkinson disease 3},602404,NA,602404,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,{Parkinson disease 13},610297,HTRA2,606441,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,{Parkinson disease 11},607688,GIGYF2,612003,1,NA,NA,NA
